,latitude,longitude,Sales Amount (Actual),Distributors,Off premise,On premise,Others,cluster_group
399,40.7152,-73.9877,10.881299069258532,0,0,1,0,3
400,40.7313,-73.9892,9.872610732090068,0,0,1,0,3
401,40.7152,-73.9877,11.80278793362961,0,0,1,0,3
402,40.7402,-73.9996,12.557366743648867,0,0,1,0,3
403,40.7262,-73.9796,10.868084903119021,0,0,1,0,3
404,40.7402,-73.9996,6.709304340258298,0,0,1,0,0
405,40.7255,-73.9983,12.138716398328485,0,0,1,0,3
406,40.7255,-73.9983,7.409741954080923,0,0,1,0,0
407,40.7313,-73.9892,7.67786350067821,0,0,1,0,0
408,40.7339,-74.0054,12.644997190929189,0,0,1,0,3
409,40.7313,-73.9892,12.500608651028594,0,0,1,0,3
411,40.7105,-74.0163,6.907755278982137,0,0,1,0,0
413,40.7262,-73.9796,12.59463910570952,0,0,1,0,3
414,40.7185,-74.0025,10.375064942770155,0,0,1,0,3
415,40.7402,-73.9996,11.393578707337662,0,0,1,0,3
416,40.7339,-74.0054,10.856369967768218,0,0,1,0,3
417,40.7255,-73.9983,9.75336209395849,0,0,1,0,3
418,40.7339,-74.0054,8.067149039910106,0,0,1,0,0
420,40.7185,-74.0025,10.32353350821349,0,0,1,0,3
421,40.7185,-74.0025,7.367077059881012,0,0,1,0,0
422,40.7185,-74.0025,6.3561076606958915,0,0,1,0,0
423,40.7185,-74.0025,10.3888098126419,0,0,1,0,3
424,40.7262,-73.9796,10.68427924294812,0,0,1,0,3
425,40.7262,-73.9796,7.02108396428914,0,0,1,0,0
427,40.7402,-73.9996,9.10263488680298,0,0,1,0,3
428,40.7185,-74.0025,12.395726256996653,0,0,1,0,3
429,40.7402,-73.9996,11.010062554489322,0,0,1,0,3
430,40.7185,-74.0025,11.95285879305615,0,0,1,0,3
431,40.7255,-73.9983,10.00459905390454,0,0,1,0,3
432,40.7339,-74.0054,11.869914359621278,0,0,1,0,3
433,40.7484,-73.9967,10.197872113047582,0,0,1,0,3
434,40.7313,-73.9892,8.204124932574041,0,0,1,0,0
435,40.7101,-74.0013,10.16459756922516,0,0,1,0,3
436,40.7313,-73.9892,9.07451835788028,0,0,1,0,3
437,40.7313,-73.9892,12.366690454042093,0,0,1,0,3
438,40.7185,-74.0025,8.240917814546076,0,0,1,0,0
439,40.7313,-73.9892,11.54500535843364,0,0,1,0,3
440,40.7185,-74.0025,9.8071770725984,0,0,1,0,3
441,40.7484,-73.9967,10.337909339898596,0,0,1,0,3
442,40.7255,-73.9983,10.007892161460656,0,0,1,0,3
443,40.7255,-73.9983,11.091239507334514,0,0,1,0,3
444,40.7402,-73.9996,8.063377822367027,0,0,1,0,0
445,40.7262,-73.9796,9.872495213271202,0,0,1,0,3
446,40.7143,-74.006,8.796036315200814,0,0,1,0,0
447,40.7262,-73.9796,5.62040086571715,0,0,1,0,0
448,40.7101,-74.0013,8.457018468380168,0,0,1,0,0
449,40.7313,-73.9892,13.07283448344122,0,0,1,0,3
451,40.7152,-73.9877,6.253828811575473,0,0,1,0,0
453,40.7402,-73.9996,9.27956974882687,0,0,1,0,3
454,40.7313,-73.9892,9.614940439377829,0,0,1,0,3
455,40.7313,-73.9892,8.77974205422902,0,0,1,0,0
456,40.7255,-73.9983,10.819098053105419,0,0,1,0,3
457,40.7185,-74.0025,10.72747087178474,0,0,1,0,3
458,40.7339,-74.0054,9.876250981826521,0,0,1,0,3
459,40.7339,-74.0054,8.869804489920483,0,0,1,0,0
460,40.7185,-74.0025,9.197348339836369,0,0,1,0,3
461,40.7339,-74.0054,10.69961992991643,0,0,1,0,3
462,40.7101,-74.0013,9.792721341286363,0,0,1,0,3
463,40.7313,-73.9892,7.9229859587111955,0,0,1,0,0
464,40.7185,-74.0025,7.326465613840322,0,0,1,0,0
465,40.7262,-73.9796,12.469447514549431,0,0,1,0,3
466,40.7339,-74.0054,8.923335403571043,0,0,1,0,0
467,40.7143,-74.006,9.126088819528592,0,0,1,0,3
468,40.7262,-73.9796,10.876794899308347,0,0,1,0,3
469,40.7484,-73.9967,5.236441962829949,0,0,1,0,0
470,40.7255,-73.9983,11.356353639868088,0,0,1,0,3
471,40.7313,-73.9892,9.86059779667012,0,0,1,0,3
473,40.7339,-74.0054,9.335737017078205,0,0,1,0,3
474,40.7313,-73.9892,10.318601295826882,0,0,1,0,3
475,40.7402,-73.9996,7.321188556739478,0,0,1,0,0
476,40.7262,-73.9796,11.406786868908561,0,0,1,0,3
477,40.7339,-74.0054,8.098034756176071,0,0,1,0,0
478,40.7255,-73.9983,10.78918339761846,0,0,1,0,3
479,40.7313,-73.9892,10.116338314364906,0,0,1,0,3
481,40.7484,-73.9967,11.317982633927398,0,0,1,0,3
482,40.7255,-73.9983,8.382975849296429,0,0,1,0,0
484,40.7255,-73.9983,11.329930681610115,0,0,1,0,3
485,40.7255,-73.9983,12.54917854496224,0,0,1,0,3
486,40.7402,-73.9996,9.952753793839046,0,0,1,0,3
487,40.7085,-74.0135,6.966005319003583,0,0,1,0,0
488,40.7262,-73.9796,9.607184425352079,0,0,1,0,3
489,40.7484,-73.9967,8.759247992475515,0,0,1,0,0
490,40.7139,-74.007,9.846282078765348,0,0,1,0,3
491,40.7185,-74.0025,11.286175167158625,0,0,1,0,3
492,40.7255,-73.9983,9.373818840968658,0,0,1,0,3
493,40.7339,-74.0054,9.305286849285137,0,0,1,0,3
494,40.7185,-74.0025,11.10736035186173,0,0,1,0,3
495,40.7185,-74.0025,7.8898337513942955,0,0,1,0,0
496,40.7185,-74.0025,11.57208058406682,0,0,1,0,3
497,40.7143,-74.006,10.279695479577175,0,0,1,0,3
498,40.7339,-74.0054,9.806425839692997,0,0,1,0,3
499,40.7185,-74.0025,9.674200166461429,0,0,1,0,3
500,40.7313,-73.9892,8.48632152774915,0,0,1,0,0
501,40.7402,-73.9996,12.850292152466695,0,0,1,0,3
502,40.7185,-74.0025,11.366730570456202,0,0,1,0,3
503,40.7339,-74.0054,10.423916912444813,0,0,1,0,3
504,40.7402,-73.9996,12.600557254677502,0,0,1,0,3
505,40.7484,-73.9967,10.106183468581232,0,0,1,0,3
506,40.7339,-74.0054,6.492239835020471,0,0,1,0,0
507,40.7262,-73.9796,11.017266904253798,0,0,1,0,3
508,40.7313,-73.9892,11.462558057606442,0,0,1,0,3
509,40.7185,-74.0025,11.526522603476254,0,0,1,0,3
510,40.7339,-74.0054,12.066764485180377,0,0,1,0,3
511,40.7484,-73.9967,8.888480847722816,0,0,1,0,0
512,40.7402,-73.9996,12.13056565674736,0,0,1,0,3
513,40.7339,-74.0054,12.080791072230237,0,0,1,0,3
514,40.7313,-73.9892,11.350379240982315,0,0,1,0,3
515,40.7255,-73.9983,8.894368558350779,0,0,1,0,0
516,40.7255,-73.9983,9.308736693832376,0,0,1,0,3
517,40.7339,-74.0054,9.621787551761894,0,0,1,0,3
518,40.7339,-74.0054,11.034541861615498,0,0,1,0,3
519,40.7339,-74.0054,12.14715196805069,0,0,1,0,3
520,40.7339,-74.0054,11.287028125459397,0,0,1,0,3
521,40.7313,-73.9892,8.97853441008332,0,0,1,0,3
522,40.7484,-73.9967,12.152955583826406,0,0,1,0,3
523,40.7313,-73.9892,11.415859895370348,0,0,1,0,3
524,40.7402,-73.9996,7.980023592310645,0,0,1,0,0
525,40.7339,-74.0054,10.268686067415738,0,0,1,0,3
526,40.7402,-73.9996,6.0867747269123065,0,0,1,0,0
527,40.7255,-73.9983,11.500951664282102,0,0,1,0,3
528,40.7402,-73.9996,11.719994917379266,0,0,1,0,3
529,40.7402,-73.9996,10.34154891634728,0,0,1,0,3
530,40.7255,-73.9983,9.423161227117863,0,0,1,0,3
531,40.7339,-74.0054,9.011889433252344,0,0,1,0,3
532,40.7339,-74.0054,12.54328607168826,0,0,1,0,3
533,40.7262,-73.9796,5.480638923341991,0,0,1,0,0
534,40.7255,-73.9983,10.482373613207029,0,0,1,0,3
535,40.7255,-73.9983,11.431466029211213,0,0,1,0,3
536,40.7185,-74.0025,7.61085279039525,0,0,1,0,0
537,40.7313,-73.9892,11.243725147847211,0,0,1,0,3
538,40.7313,-73.9892,8.926915889777042,0,0,1,0,3
539,40.7402,-73.9996,9.521718951313636,0,0,1,0,3
540,40.7262,-73.9796,10.161753430077455,0,0,1,0,3
541,40.7255,-73.9983,9.195632743103909,0,0,1,0,3
542,40.7255,-73.9983,5.856102909177306,0,0,1,0,0
543,40.7185,-74.0025,7.426549072397305,0,0,1,0,0
544,40.7339,-74.0054,7.138866999945524,0,0,1,0,0
545,40.7152,-73.9877,10.339611181598086,0,0,1,0,3
547,40.7402,-73.9996,7.3343293503005365,0,0,1,0,0
548,40.7152,-73.9877,5.730099782973574,0,0,1,0,0
549,40.7262,-73.9796,6.222576268071369,0,0,1,0,0
550,40.7313,-73.9892,9.562545340443464,0,0,1,0,3
551,40.7255,-73.9983,7.803026643632217,0,0,1,0,0
553,40.7402,-73.9996,5.480638923341991,0,0,1,0,0
554,40.7185,-74.0025,6.0112671744041615,0,0,1,0,0
555,40.7185,-74.0025,6.373336854277826,0,0,1,0,0
556,40.7339,-74.0054,9.267665438595452,0,0,1,0,3
557,40.7255,-73.9983,9.223454011121566,0,0,1,0,3
558,40.7185,-74.0025,10.54019664799237,0,0,1,0,3
559,40.7255,-73.9983,11.762266836943965,0,0,1,0,3
560,40.7185,-74.0025,8.666302614004078,0,0,1,0,0
561,40.7402,-73.9996,7.901510628879997,0,0,1,0,0
563,40.7339,-74.0054,11.020103465643812,0,0,1,0,3
565,40.7101,-74.0013,10.535184770779852,0,0,1,0,3
566,40.7339,-74.0054,9.415075523607037,0,0,1,0,3
567,40.7056,-74.0083,10.223540005018359,0,0,1,0,3
568,40.7139,-74.007,9.718857132367315,0,0,1,0,3
569,40.7101,-74.0013,10.742378747148779,0,0,1,0,3
570,40.7262,-73.9796,10.935425707936245,0,0,1,0,3
571,40.7143,-74.006,7.763021309018518,0,0,1,0,0
572,40.7185,-74.0025,9.039196115772354,0,0,1,0,3
573,40.7185,-74.0025,6.643789733147672,0,0,1,0,0
575,40.7185,-74.0025,6.970730078143525,0,0,1,0,0
576,40.7056,-74.0083,7.841492924460013,0,0,1,0,0
577,40.7146,-74.015,8.008032846969307,0,0,1,0,0
578,40.7313,-73.9892,5.634789603169249,0,0,1,0,0
579,40.7185,-74.0025,11.381418307912083,0,0,1,0,3
580,40.7255,-73.9983,6.835184586147301,0,0,1,0,0
