,component_1_scaled,component_2_scaled,cluster_group,component_1,component_2,latitude,longitude,Sales Amount (Actual),Distributors,Off premise,On premise,Others,No_
21,-0.10622441862919493,-0.16348632908736926,1,-87507.0757244681,-0.7976839367500839,40.7255,-73.9983,322.14,0,0,1,0,2CIVE
22,-0.06818924630449509,-0.17436149800105985,1,-56173.915724513696,-0.8507461566942286,40.7313,-73.9892,31655.3,0,0,1,0,2COOP
23,-0.075536092045822,-0.16929420347943816,1,-62226.20572448535,-0.8260217686353397,40.7339,-74.0054,25603.010000000002,0,0,1,0,2CORS
24,-0.0777547647080549,-0.17024021911757736,1,-64053.93572449178,-0.8306375764687565,40.7255,-73.9983,23775.28,0,0,1,0,2COST
25,-0.004233114407133238,-0.18738440505073764,1,-3487.215724554113,-0.9142876394671753,40.7402,-73.9996,84342.0,0,0,1,0,2CRAST
26,-0.07207528898778238,-0.17011521392568216,1,-59375.215724488226,-0.8300276500355079,40.7339,-74.0054,28454.0,0,0,1,0,2DASRE
27,-0.10571208202376844,-0.16213551730684722,1,-87085.01572446025,-0.7910930440136069,40.7339,-74.0054,744.2,0,0,1,0,2DEG
28,-0.09916214633809674,-0.16701375990339917,1,-81689.21572448792,-0.8148950082546655,40.7313,-73.9892,6140.0,0,0,1,0,2DEVI
29,-0.09385945154699506,-0.170249268620587,1,-77320.88572450481,-0.8306817308835425,40.7262,-73.9796,10508.33,0,0,1,0,2DEVINO
30,-0.1056249243488682,-0.16278291008587045,1,-87013.21572446129,-0.7942518085627751,40.7185,-74.0025,816.0,0,0,1,0,2DIVAR
31,-0.06453250842324576,-0.17365627496366307,1,-53161.515724509656,-0.8473052262390779,40.7484,-73.9967,34667.7,0,0,1,0,2DOR
32,-0.1042847840551179,-0.16247411691003552,1,-85909.21572446142,-0.7927451421796188,40.7339,-74.0054,1920.0,0,0,1,0,2DOWN
33,-0.10274750718193607,-0.16431116094604256,1,-84642.81572447099,-0.8017084636194332,40.7255,-73.9983,3186.4,0,0,1,0,2ELLA
34,-0.03497259453395498,-0.18009204143657512,1,-28810.225724528525,-0.878706674695194,40.7402,-73.9996,59018.99,0,0,1,0,2EOLO
35,-0.10508109930217037,-0.16758714371010788,1,-86565.21572449547,-0.8176926675743003,40.7262,-73.9796,1264.0,0,0,1,0,2FALA
36,-0.10647635043767742,-0.16342656300330252,1,-87714.61572446788,-0.7973923255463298,40.7255,-73.9983,114.6,0,0,1,0,2FALA2
