,No_,Name,Address,City,Customer Posting Group,Salesperson Code,Shipment Method Code,Country_Region Code,Gen_ Bus_ Posting Group,County,CityState,Customer,StateCountry,Post Code,GeoColumn With Address,GeoColumn,State Area Code,State Zone Code,State Location Code,Mkt Segment,On premise/off premise,longitude,latitude,coordinates
4073,2LADOL,LA DOLCE VITA CAFFE & BISTRO,1472 HERTEL AVENUE,BUFFALO,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,BUFFALO NY,2LADOL LA DOLCE VITA CAFFE & BISTRO,"NY, ",14216,1472 HERTEL AVENUE BUFFALO NY  14216 ,BUFFALO NY  ,BUFFALO,ERIE,BUFFALO,Metro,On premise,-78.8599,42.9499,"[-78.8599, 42.9499]"
4074,2LAMAR,LA MARINA SEAFOOD MKT & GRILL,1503 HERTEL,BUFFALO,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,BUFFALO NY,2LAMAR LA MARINA SEAFOOD MKT & GRILL,"NY, ",14216,1503 HERTEL BUFFALO NY  14216 ,BUFFALO NY  ,BUFFALO,ERIE,BUFFALO,Metro,On premise,-78.8599,42.9499,"[-78.8599, 42.9499]"
4075,2LANCI,LANCI'S RISTORANTE,68 PUTNAM STREET,SARATOGA,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,SARATOGA NY,2LANCI LANCI'S RISTORANTE,"NY, ",12866,68 PUTNAM STREET SARATOGA NY  12866 ,SARATOGA NY  ,ALBANY AREA,SARATOGA COUNTY,WILTON,Metro,On premise,-73.7408,43.0708,"[-73.7408, 43.0708]"
4076,2LANDI,LANDING STEAKHOUSE INC.,5 ROUND HOUSE ROAD,PIERMONT,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,PIERMONT NY,2LANDI LANDING STEAKHOUSE INC.,"NY, ",10968,5 ROUND HOUSE ROAD PIERMONT NY  10968 ,PIERMONT NY  ,ROCKLAND COUNTY,ORANGETOWN,PIERMONT,Metro,On premise,-73.9192,41.0395,"[-73.9192, 41.0395]"
4077,2LANOR,LA NORA RISTORANTE,158 22A CROSSBAY BLVD.,HOWARD BEACH,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,HOWARD BEACH NY,2LANOR LA NORA RISTORANTE,"NY, ",11414,158 22A CROSSBAY BLVD. HOWARD BEACH NY  11414 ,HOWARD BEACH NY  ,QUEENS,SOUTHWEST QUEENS,HOWARD BEACH,Metro,On premise,-73.8438,40.6588,"[-73.8438, 40.6588]"
4078,2LASTA,LA STAZIONE,5 MAIN STREET,NEW PALTZ,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW PALTZ NY,2LASTA LA STAZIONE,"NY, ",12561,5 MAIN STREET NEW PALTZ NY  12561 ,NEW PALTZ NY  ,HUDSON VALLEY,ULSTER COUNTY,NEW PALTZ,Metro,On premise,-74.1092,41.7464,"[-74.1092, 41.7464]"
4079,2LEGEN,LEGENDS OF WOODSTOCK REST.,109 MILL HILL ROAD,WOODSTOCK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,WOODSTOCK NY,2LEGEN LEGENDS OF WOODSTOCK REST.,"NY, ",12498,109 MILL HILL ROAD WOODSTOCK NY  12498 ,WOODSTOCK NY  ,HUDSON VALLEY,ULSTER COUNTY,WOODSTOCK,Metro,On premise,-74.112,42.0348,"[-74.112, 42.0348]"
4080,2LENAS,LENAS RESTAURANT,2 SPEAR STREET,NYACK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NYACK NY,2LENAS LENAS RESTAURANT,"NY, ",10960,2 SPEAR STREET NYACK NY  10960 ,NYACK NY  ,HUDSON VALLEY,ORANGE COUNTY,NYACK,Metro,On premise,-73.9252,41.0914,"[-73.9252, 41.0914]"
4081,2LON,LONGOBARDI RESTAURANT,1574 ROUTE 9,WAPPINGERS  FALLS,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,WAPPINGERS  FALLS NY,2LON LONGOBARDI RESTAURANT,"NY, ",12590,1574 ROUTE 9 WAPPINGERS  FALLS NY  12590 ,WAPPINGERS  FALLS NY  ,HUDSON VALLEY,DUTCHESS COUNTY,WAPPINGERS FALLS,Metro,On premise,-73.8876,41.595,"[-73.8876, 41.595]"
4082,2LUCE,LUCE RESTAURANT,63-20 WOODHAVEN BLVD.,REGO PARK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,REGO PARK NY,2LUCE LUCE RESTAURANT,"NY, ",11374,63-20 WOODHAVEN BLVD. REGO PARK NY  11374 ,REGO PARK NY  ,QUEENS,WEST CENTRAL QUEENS,REGO PARK,Metro,On premise,-73.8602,40.7278,"[-73.8602, 40.7278]"
4083,2LUCIA,ANTICHI SAPORI,187 ROUTE 28,KINGSTON,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,KINGSTON NY,2LUCIA ANTICHI SAPORI,"NY, ",12401,187 ROUTE 28 KINGSTON NY  12401 ,KINGSTON NY  ,HUDSON VALLEY,ULSTER COUNTY,KINGSTON,Metro,On premise,-74.0668,41.9697,"[-74.0668, 41.9697]"
4084,2MAGGI,ANTONIO TRATTORIA CORP.,2370 BELMONTE AVENUE,BRONX,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,BRONX NY,2MAGGI ANTONIO TRATTORIA CORP.,"NY, ",10458,2370 BELMONTE AVENUE BRONX NY  10458 ,BRONX NY  ,BRONX,BRONX PARK,FORDHAM,Metro,On premise,-73.8895,40.8633,"[-73.8895, 40.8633]"
4085,2MARNY,MARCO NEW YORK,142 W.10 STREET,,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY, NY,2MARNY MARCO NEW YORK,"NY, ",10014,142 W.10 STREET  NY  10014 , NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
4086,2MARPO,MARCO POLO RESTAURANT,37 MONTGOMERY ST.,RHINEBECK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,RHINEBECK NY,2MARPO MARCO POLO RESTAURANT,"NY, ",12572,37 MONTGOMERY ST. RHINEBECK NY  12572 ,RHINEBECK NY  ,HUDSON VALLEY,DUTCHESS COUNTY,RHINEBECK,Metro,On premise,-73.8888,41.9272,"[-73.8888, 41.9272]"
4087,2MARVI,MARIO'S VIA ABRUZZI,2740 MONROE AVE.,ROCHESTER,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,ROCHESTER NY,2MARVI MARIO'S VIA ABRUZZI,"NY, ",14618,2740 MONROE AVE. ROCHESTER NY  14618 ,ROCHESTER NY  ,ROCHESTER,MONROE,ROCHESTER,Metro,On premise,-77.5618,43.1122,"[-77.5618, 43.1122]"
4088,2MATT2,MATTEO'S OF HOWARD BEACH,155-10 CROSS BAY BLVD.,HOWARD BEACH,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,HOWARD BEACH NY,2MATT2 MATTEO'S OF HOWARD BEACH,"NY, ",11414,155-10 CROSS BAY BLVD. HOWARD BEACH NY  11414 ,HOWARD BEACH NY  ,QUEENS,SOUTHWEST QUEENS,HOWARD BEACH,Metro,On premise,-73.8438,40.6588,"[-73.8438, 40.6588]"
4089,2MOJA,MOJAVE,22-36 31ST STREET,ASTORIA,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,ASTORIA NY,2MOJA MOJAVE,"NY, ",11105,22-36 31ST STREET ASTORIA NY  11105 ,ASTORIA NY  ,QUEENS,NORTHWEST QUEENS,ASTORIA,Metro,On premise,-73.911,40.7763,"[-73.911, 40.7763]"
4090,2MY,MY KITCHEN,106-17 METROPOLITAN AVN,FOREST HILLS,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,FOREST HILLS NY,2MY MY KITCHEN,"NY, ",11375,106-17 METROPOLITAN AVN FOREST HILLS NY  11375 ,FOREST HILLS NY  ,QUEENS,WEST CENTRAL QUEENS,FOREST HILLS,Metro,On premise,-73.8473,40.7229,"[-73.8473, 40.7229]"
4091,2NATIV,NATIVES RESTAURANT LLC,82-22 NORTHERN BLVD.,JACKSON HEIGHTS,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,JACKSON HEIGHTS NY,2NATIV NATIVES RESTAURANT LLC,"NY, ",11372,82-22 NORTHERN BLVD. JACKSON HEIGHTS NY  11372 ,JACKSON HEIGHTS NY  ,QUEENS,WEST QUEENS,JACKSON HEIGHTS,Metro,On premise,-73.883,40.7513,"[-73.883, 40.7513]"
4092,2NBRO,8 NORTH BROADWAY RESTAURANT,8 NORTH BROADWAY,NYACK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NYACK NY,2NBRO 8 NORTH BROADWAY RESTAURANT,"NY, ",10960,8 NORTH BROADWAY NYACK NY  10960 ,NYACK NY  ,HUDSON VALLEY,ORANGE COUNTY,NYACK,Metro,On premise,-73.9252,41.0914,"[-73.9252, 41.0914]"
4093,2NCJB,JUSTINS GRILL,6400 YORKTOWN CIRCLE,EAST SYRACUSE,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,EAST SYRACUSE NY,2NCJB JUSTINS GRILL,"NY, ",13057,6400 YORKTOWN CIRCLE EAST SYRACUSE NY  13057 ,EAST SYRACUSE NY  ,SYRACUSE,ONONDAGA,EAST SYRACUSE,Metro,On premise,-76.0558,43.0734,"[-76.0558, 43.0734]"
4094,2NEKTA,NEKTAR,451 ELMWOOD AVENUE,BUFFALO,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,BUFFALO NY,2NEKTA NEKTAR,"NY, ",14222,451 ELMWOOD AVENUE BUFFALO NY  14222 ,BUFFALO NY  ,BUFFALO,ERIE,BUFFALO,Metro,On premise,-78.8763,42.9164,"[-78.8763, 42.9164]"
4095,2NIK,NIKKO,1 CAPRON ST.,ROCHESTER,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,ROCHESTER NY,2NIK NIKKO,"NY, ",14607,1 CAPRON ST. ROCHESTER NY  14607 ,ROCHESTER NY  ,ROCHESTER,MONROE,ROCHESTER,Metro,On premise,-77.589,43.1501,"[-77.589, 43.1501]"
4096,2NIOS,ANTONIO'S TRATTORIA,2370 BELMONT AVENUE,BRONX,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,BRONX NY,2NIOS ANTONIO'S TRATTORIA,"NY, ",10458,2370 BELMONT AVENUE BRONX NY  10458 ,BRONX NY  ,BRONX,BRONX PARK,FORDHAM,Metro,On premise,-73.8895,40.8633,"[-73.8895, 40.8633]"
4097,2OCON,O'CONNELLS AMERICAN BISTRO,981 KENMORE AVENUE,KENMORE,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,KENMORE NY,2OCON O'CONNELLS AMERICAN BISTRO,"NY, ",14217,981 KENMORE AVENUE KENMORE NY  14217 ,KENMORE NY  ,BUFFALO,ERIE,BUFFALO,Metro,On premise,-78.8769,42.9719,"[-78.8769, 42.9719]"
4098,2OCWB,OAK CAFE & WINE BAR,361 GRAHAM AVENUE,WILLIAMSBURG,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,WILLIAMSBURG NY,2OCWB OAK CAFE & WINE BAR,"NY, ",11211,361 GRAHAM AVENUE WILLIAMSBURG NY  11211 ,WILLIAMSBURG NY  ,BROOKLYN,EAST WILLIAMSBURG,WILLIAMSBURG,Metro,On premise,-73.9563,40.7095,"[-73.9563, 40.7095]"
4099,2OHML,OHM LOUNGE,314 S.FRANKLIN STREET,SYRACUSE,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,SYRACUSE NY,2OHML OHM LOUNGE,"NY, ",13202,314 S.FRANKLIN STREET SYRACUSE NY  13202 ,SYRACUSE NY  ,SYRACUSE,ONONDAGA,SYRACUSE,Metro,On premise,-76.1489,43.041,"[-76.1489, 43.041]"
4100,2OLIV,OLIVIA,381 PINE TREE RD.,ITHACA,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,ITHACA NY,2OLIV OLIVIA,"NY, ",14850,381 PINE TREE RD. ITHACA NY  14850 ,ITHACA NY  ,SYRACUSE,TOMPKINS,ITHACA,Metro,On premise,-76.4966,42.4406,"[-76.4966, 42.4406]"
4101,2OMAHA,THE OMAHA STEAK HOUSE,566 E 187TH STREET,BRONX,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,BRONX NY,2OMAHA THE OMAHA STEAK HOUSE,"NY, ",10458,566 E 187TH STREET BRONX NY  10458 ,BRONX NY  ,BRONX,BRONX PARK,FORDHAM,Metro,On premise,-73.8895,40.8633,"[-73.8895, 40.8633]"
4102,2OOI,OLD ORCHARD INN,2095 BLAKELEY RD.,AURORA,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,AURORA NY,2OOI OLD ORCHARD INN,"NY, ",14052,2095 BLAKELEY RD. AURORA NY  14052 ,AURORA NY  ,BUFFALO,ERIE,EAST AURORA,Metro,On premise,-78.602,42.7701,"[-78.602, 42.7701]"
4103,2ORG,ORGANIC 3 CAFE,739 ELMWOOD AVE.,BUFFALO,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,BUFFALO NY,2ORG ORGANIC 3 CAFE,"NY, ",14222,739 ELMWOOD AVE. BUFFALO NY  14222 ,BUFFALO NY  ,BUFFALO,ERIE,BUFFALO,Metro,On premise,-78.8763,42.9164,"[-78.8763, 42.9164]"
4104,2PADU,AURELIA,P.O.BOX 31,MILLBROOK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,MILLBROOK NY,2PADU AURELIA,"NY, ",12545,P.O.BOX 31 MILLBROOK NY  12545 ,MILLBROOK NY  ,HUDSON VALLEY,DUTCHESS COUNTY,MILLBROOK,Metro,On premise,-73.6885,41.7803,"[-73.6885, 41.7803]"
4105,2PANE,PANE E VINO RISTORANTE,175 N  WATER STREET,ROCHESTER,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,ROCHESTER NY,2PANE PANE E VINO RISTORANTE,"NY, ",14604,175 N  WATER STREET ROCHESTER NY  14604 ,ROCHESTER NY  ,ROCHESTER,MONROE,ROCHESTER,Metro,On premise,-77.608,43.1577,"[-77.608, 43.1577]"
4106,2PANK,MILKFLOWER RESTAURANT,3412 31ST AVE,LONG ISLAND CITY,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,LONG ISLAND CITY NY,2PANK MILKFLOWER RESTAURANT,"NY, ",11106,3412 31ST AVE LONG ISLAND CITY NY  11106 ,LONG ISLAND CITY NY  ,QUEENS,NORTHWEST QUEENS,ASTORIA,Metro,On premise,-73.9295,40.7608,"[-73.9295, 40.7608]"
4107,2PAP,PAPAYA,118 W. CHIPPEWA,BUFFALO,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,BUFFALO NY,2PAP PAPAYA,"NY, ",14202,118 W. CHIPPEWA BUFFALO NY  14202 ,BUFFALO NY  ,BUFFALO,ERIE,BUFFALO,Metro,On premise,-78.8779,42.887,"[-78.8779, 42.887]"
4108,2PARA,CINEMA PARADISO,36-02 35TH AVENUE,ASTORIA,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,ASTORIA NY,2PARA CINEMA PARADISO,"NY, ",11103,36-02 35TH AVENUE ASTORIA NY  11103 ,ASTORIA NY  ,QUEENS,NORTHWEST QUEENS,ASTORIA,Metro,On premise,-73.9149,40.7627,"[-73.9149, 40.7627]"
4109,2PARIS,PARISI'S BISTRO AT THE FIVE PO,59 ARTERIAL WEST,AUBURN,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,AUBURN NY,2PARIS PARISI'S BISTRO AT THE FIVE PO,"NY, ",13021,59 ARTERIAL WEST AUBURN NY  13021 ,AUBURN NY  ,SYRACUSE,CAYUGA COUNTY,AUBURN,Metro,On premise,-76.5626,42.93,"[-76.5626, 42.93]"
4110,2PAS3,PASCALE WINE BAR & RESTAURANT,204 W. FAYETTE STREET,SYRACUSE,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,SYRACUSE NY,2PAS3 PASCALE WINE BAR & RESTAURANT,"NY, ",13202,204 W. FAYETTE STREET SYRACUSE NY  13202 ,SYRACUSE NY  ,SYRACUSE,ONONDAGA,SYRACUSE,Metro,On premise,-76.1489,43.041,"[-76.1489, 43.041]"
4111,2PASQU,PASQUALES RIGOLETTO,2311 ARTHUR AVENUE,BRONX,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,BRONX NY,2PASQU PASQUALES RIGOLETTO,"NY, ",10458,2311 ARTHUR AVENUE BRONX NY  10458 ,BRONX NY  ,BRONX,BRONX PARK,FORDHAM,Metro,On premise,-73.8895,40.8633,"[-73.8895, 40.8633]"
4112,2PASTA,PASTA CUCINA,8 N. ALTAMONT RD.,SUFFERN,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,SUFFERN NY,2PASTA PASTA CUCINA,"NY, ",10901,8 N. ALTAMONT RD. SUFFERN NY  10901 ,SUFFERN NY  ,ROCKLAND COUNTY,MONTEBELLO,SUFFERN,Metro,On premise,-74.1241,41.1177,"[-74.1241, 41.1177]"
