,No_,Name,Address,City,Customer Posting Group,Salesperson Code,Shipment Method Code,Country_Region Code,Gen_ Bus_ Posting Group,County,CityState,Customer,StateCountry,Post Code,GeoColumn With Address,GeoColumn,State Area Code,State Zone Code,State Location Code,Mkt Segment,On premise/off premise,longitude,latitude,coordinates
1066,3OAK,OAK AND BARREL,235 E 57TH  ST,NEW YORK,3NYSTORE,MSA,CE,,NYSTO,NY,NEW YORK NY,3OAK OAK AND BARREL,"NY, ",10022,235 E 57TH  ST NEW YORK NY  10022 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MIDTOWN EAST,Metro,Off premise,-73.9657,40.7571,"[-73.9657, 40.7571]"
1067,3ODY,ODYSSEY WINE & SPIRITS,490 10TH AVENUE,NEW YORK,3NYSTORE,CCV2,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3ODY ODYSSEY WINE & SPIRITS,"NY, ",10018,490 10TH AVENUE NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,Off premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1068,3PWH,CRUSH WAREHOUSE,153 EAST 57TH STREET,NEW YORK,3NYSTORE,CCV2,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3PWH CRUSH WAREHOUSE,"NY, ",10022,153 EAST 57TH STREET NEW YORK NY  10022 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MIDTOWN EAST,Metro,Off premise,-73.9657,40.7571,"[-73.9657, 40.7571]"
1069,3QUALI,QUALITY HOUSE WINE,2 PARK AVENUE,NEW YORK,3NYSTORE,CCV2,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3QUALI QUALITY HOUSE WINE,"NY, ",10016,2 PARK AVENUE NEW YORK NY  10016 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MURRAY HILL,Metro,Off premise,-73.9781,40.7443,"[-73.9781, 40.7443]"
1070,3RAYFR,RAY & FRANK LIQUOR STORE INC.,706 9TH AVENUE,NEW YORK,3NYSTORE,YYY,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3RAYFR RAY & FRANK LIQUOR STORE INC.,"NY, ",10019,706 9TH AVENUE NEW YORK NY  10019 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,HELLS KITCHEN,Metro,Off premise,-73.9858,40.7651,"[-73.9858, 40.7651]"
1071,3ROYL,ROYAL WINES & LIQUORS,789 9TH AVE,NEW YORK,3NYSTORE,FBU,,,NYSTO,NY,NEW YORK NY,3ROYL ROYAL WINES & LIQUORS,"NY, ",10019,789 9TH AVE NEW YORK NY  10019 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,HELLS KITCHEN,Metro,Off premise,-73.9858,40.7651,"[-73.9858, 40.7651]"
1072,3SHELE,SHERRY LEHMANN INC.,505 PARK AVENUE,NEW YORK,3NYSTORE,KBU,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3SHELE SHERRY LEHMANN INC.,"NY, ",10022,505 PARK AVENUE NEW YORK NY  10022 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MIDTOWN EAST,Metro,Off premise,-73.9657,40.7571,"[-73.9657, 40.7571]"
1073,3SONGE,GRAMERCY PARK WINES,104 EAST 23RD STREET,NEW YORK,3NYSTORE,SWA,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3SONGE GRAMERCY PARK WINES,"NY, ",10010,104 EAST 23RD STREET NEW YORK NY  10010 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MURRAY HILL,Metro,Off premise,-73.9813,40.7375,"[-73.9813, 40.7375]"
1074,3STEE,OAK & STEEL,1776 BROADWAY,NEW YORK,3NYSTORE,YYY,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3STEE OAK & STEEL,"NY, ",10019,1776 BROADWAY NEW YORK NY  10019 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,HELLS KITCHEN,Metro,Off premise,-73.9858,40.7651,"[-73.9858, 40.7651]"
1075,3SUSLI,SUSSEX WINE & SPIRITS,300 E 42ND STREET,NEW YORK,3NYSTORE,SWA,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3SUSLI SUSSEX WINE & SPIRITS,"NY, ",10017,300 E 42ND STREET NEW YORK NY  10017 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MIDTOWN EAST,Metro,Off premise,-73.9707,40.7517,"[-73.9707, 40.7517]"
1076,3SUTWI,SUTTON WINE SHOP,403 E. 57TH ST.,NEW YORK,3NYSTORE,SWA,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3SUTWI SUTTON WINE SHOP,"NY, ",10022,403 E. 57TH ST. NEW YORK NY  10022 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MIDTOWN EAST,Metro,Off premise,-73.9657,40.7571,"[-73.9657, 40.7571]"
1077,3UNWEX,U.N. WINE EXCHANGE,885 FIRST AVE,NEW YORK,3NYSTORE,XX,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3UNWEX U.N. WINE EXCHANGE,"NY, ",10017,885 FIRST AVE NEW YORK NY  10017 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MIDTOWN EAST,Metro,Off premise,-73.9707,40.7517,"[-73.9707, 40.7517]"
1078,3UPST,UPSTAIRS WINE & SPIRITS,625 8 TH AVE FLOOR 2,NEW YORK,3NYSTORE,MSA,CE,USA,NYSTO,NY,NEW YORK NY,3UPST UPSTAIRS WINE & SPIRITS,"NY, USA",10018,625 8 TH AVE FLOOR 2 NEW YORK NY  10018 USA,NEW YORK NY  USA,MANHATTAN,MIDTOWN,CLINTON,Metro,Off premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1079,3VINO,VINO,121 EAST 27TH STREET,NEW YORK,3NYSTORE,MSA,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3VINO VINO,"NY, ",10016,121 EAST 27TH STREET NEW YORK NY  10016 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MURRAY HILL,Metro,Off premise,-73.9781,40.7443,"[-73.9781, 40.7443]"
1080,3VINO-WH,VINO,121 EAST 27TH STREET,NEW YORK,3NYSTORE,CLU,CE,,NYSTO,NY,NEW YORK NY,3VINO-WH VINO,"NY, ",10016,121 EAST 27TH STREET NEW YORK NY  10016 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MURRAY HILL,Metro,Off premise,-73.9781,40.7443,"[-73.9781, 40.7443]"
1081,3VIOL,VIOLETTA WINES,161 MADISON AVE,NEW YORK,3NYSTORE,DES,CE,,NYSTO,NY,NEW YORK NY,3VIOL VIOLETTA WINES,"NY, ",10017,161 MADISON AVE NEW YORK NY  10017 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MIDTOWN EAST,Metro,Off premise,-73.9707,40.7517,"[-73.9707, 40.7517]"
1082,3VISWI,VISKI WINES & LIQUOR,764 3RD AVENUE,NEW YORK,3NYSTORE,XX,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3VISWI VISKI WINES & LIQUOR,"NY, ",10017,764 3RD AVENUE NEW YORK NY  10017 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MIDTOWN EAST,Metro,Off premise,-73.9707,40.7517,"[-73.9707, 40.7517]"
1083,3VWI,VERITAS WINE STUDIO,527 W.45TH ST.,NEW YORK,3NYSTORE,MSA,CE,,NYSTO,NY,NEW YORK NY,3VWI VERITAS WINE STUDIO,"NY, ",10036,527 W.45TH ST. NEW YORK NY  10036 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,HELLS KITCHEN,Metro,Off premise,-73.9918,40.7597,"[-73.9918, 40.7597]"
1084,3W57TH,WEST 57TH ST W & L,344A W.57TH ST.,NEW YORK,3NYSTORE,MSA,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3W57TH WEST 57TH ST W & L,"NY, ",10019,344A W.57TH ST. NEW YORK NY  10019 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,HELLS KITCHEN,Metro,Off premise,-73.9858,40.7651,"[-73.9858, 40.7651]"
1085,3WELC,WELCOME WINE & SPIRITS,424 2ND AVENUE,NEW YORK,3NYSTORE,YYY,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3WELC WELCOME WINE & SPIRITS,"NY, ",10010,424 2ND AVENUE NEW YORK NY  10010 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MURRAY HILL,Metro,Off premise,-73.9813,40.7375,"[-73.9813, 40.7375]"
1086,3WESTL,40 WEST 55TH ST.LIQUORS,40 W. 55TH ST.,NEW YORK,3NYSTORE,YYY,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3WESTL 40 WEST 55TH ST.LIQUORS,"NY, ",10019,40 W. 55TH ST. NEW YORK NY  10019 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,HELLS KITCHEN,Metro,Off premise,-73.9858,40.7651,"[-73.9858, 40.7651]"
1087,3WINDS,WINDSOR WINE SHOP,474 THIRD AVE.,NEW YORK,3NYSTORE,XX,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3WINDS WINDSOR WINE SHOP,"NY, ",10016,474 THIRD AVE. NEW YORK NY  10016 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MURRAY HILL,Metro,Off premise,-73.9781,40.7443,"[-73.9781, 40.7443]"
1088,3WINFI,WINFIELD FLYNN LTD.,558 THIRD AVE.,NEW YORK,3NYSTORE,MSA,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3WINFI WINFIELD FLYNN LTD.,"NY, ",10016,558 THIRD AVE. NEW YORK NY  10016 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MURRAY HILL,Metro,Off premise,-73.9781,40.7443,"[-73.9781, 40.7443]"
1089,3WINOU,SMITH & WOLENSKY GROUP,880 THIRD AVENUE 4TH FLR.,NEW YORK,3NYSTORE,YYY,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3WINOU SMITH & WOLENSKY GROUP,"NY, ",10022,880 THIRD AVENUE 4TH FLR. NEW YORK NY  10022 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MIDTOWN EAST,Metro,Off premise,-73.9657,40.7571,"[-73.9657, 40.7571]"
1090,3WLO,42ND STREET WINE LOFT,507 W. 42ND ST.,NEW YORK,3NYSTORE,YYY,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3WLO 42ND STREET WINE LOFT,"NY, ",10036,507 W. 42ND ST. NEW YORK NY  10036 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,HELLS KITCHEN,Metro,Off premise,-73.9918,40.7597,"[-73.9918, 40.7597]"
1091,3WORLD,WORLD WINES & SPIRITS,705 2ND AVENUE,NEW YORK,3NYSTORE,YYY,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3WORLD WORLD WINES & SPIRITS,"NY, ",10016,705 2ND AVENUE NEW YORK NY  10016 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,MURRAY HILL,Metro,Off premise,-73.9781,40.7443,"[-73.9781, 40.7443]"
1092,3WSW,120 W.58TH WINE & LIQUOR,120 W.58TH ST.,NEW YORK,3NYSTORE,KBU,FLEETWOOD,,NYSTO,NY,NEW YORK NY,3WSW 120 W.58TH WINE & LIQUOR,"NY, ",10019,120 W.58TH ST. NEW YORK NY  10019 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,HELLS KITCHEN,Metro,Off premise,-73.9858,40.7651,"[-73.9858, 40.7651]"
1093,2AJM,A.J. MAXWELLS,57 WEST.48TH ST.,NEW YORK,2NYRESTAUR,KBU,FLEETWOOD,,NYRES,NY,NEW YORK NY,2AJM A.J. MAXWELLS,"NY, ",10020,57 WEST.48TH ST. NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1094,2AMERC,AMERICA FESTIVAL CAFE,41 W.50TH ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2AMERC AMERICA FESTIVAL CAFE,"NY, ",10020,41 W.50TH ST. NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1095,2AMG,AMG WAREHOUSE,400 FIFTH AVENUE-2ND FLR,NEW YORK,2NYRESTAUR,NGR,FLEETWOOD,,NYRES,NY,NEW YORK NY,2AMG AMG WAREHOUSE,"NY, ",10018,400 FIFTH AVENUE-2ND FLR NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1096,2APPET,APPETITO RISTORANTE,47 W.39TH ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2APPET APPETITO RISTORANTE,"NY, ",10018,47 W.39TH ST. NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1097,2ARNOR,ARNO RESTAURANT,525 SEVENTH AVE.,NEW YORK,2NYRESTAUR,YYY,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ARNOR ARNO RESTAURANT,"NY, ",10018,525 SEVENTH AVE. NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1098,2BOBB3,BOBBY VAN'S - 50TH,135 WEST 50TH STREET,NEW YORK,2NYRESTAUR,SWA,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BOBB3 BOBBY VAN'S - 50TH,"NY, ",10020,135 WEST 50TH STREET NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1099,2CAFEC,CUCINA & COMPANY,200 PARK AVE.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CAFEC CUCINA & COMPANY,"NY, ",10166,200 PARK AVE. NEW YORK NY  10166 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,,Metro,On premise,-73.9762,40.7546,"[-73.9762, 40.7546]"
1100,2CAMA,LONGO BROS,474 9TH AVENUE,NEW YORK,2NYRESTAUR,DES,CE,,NYRES,NY,NEW YORK NY,2CAMA LONGO BROS,"NY, ",10018,474 9TH AVENUE NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1101,2CANO,CASA NONNA,320 W. 38TH ST.,NEW YORK,2NYRESTAUR,MSA,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CANO CASA NONNA,"NY, ",10018,320 W. 38TH ST. NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1102,2CARB,CARBONE RESTAURANT,331 W. 38TH STREET,NEW YORK,2NYRESTAUR,YYY,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CARB CARBONE RESTAURANT,"NY, ",10018,331 W. 38TH STREET NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1103,2CARR,CARRAGHER'S,228 WEST 39TH STREET,NEW YORK,2NYRESTAUR,CCU,CE,,NYRES,NY,NEW YORK NY,2CARR CARRAGHER'S,"NY, ",10018,228 WEST 39TH STREET NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1104,2CITAR,JOSEPH'S CITARELLA,1240 AVENUE OF THE AMERICAS,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CITAR JOSEPH'S CITARELLA,"NY, ",10020,1240 AVENUE OF THE AMERICAS NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1105,2CULINA,CULINARIA,202 WEST 40TH STREET,NEW YORK,2NYRESTAUR,YYY,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CULINA CULINARIA,"NY, ",10018,202 WEST 40TH STREET NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1106,2DAGI,DA GIULIO,176 LEXINGTON AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2DAGI DA GIULIO,"NY, ",10018,176 LEXINGTON AVENUE NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1107,2DJANG,DJANGO,480 LEXINGTON AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2DJANG DJANGO,"NY, ",10167,480 LEXINGTON AVENUE NEW YORK NY  10167 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,TURTLE BAY,Metro,On premise,-73.975,40.7549,"[-73.975, 40.7549]"
1108,2DONP,THE DOOR,508 9TH AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2DONP THE DOOR,"NY, ",10018,508 9TH AVENUE NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1109,2EVR,EVR LOUNGE,54 W. 39TH STREET,NEW YORK,2NYRESTAUR,YYY,FLEETWOOD,,NYRES,NY,NEW YORK NY,2EVR EVR LOUNGE,"NY, ",10018,54 W. 39TH STREET NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1110,2F&J2,FRANKIE & JOHNNIES STEAKHOUSE,32 W. 37TH STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2F&J2 FRANKIE & JOHNNIES STEAKHOUSE,"NY, ",10018,32 W. 37TH STREET NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1111,2FIO,AI FIORI,400 5TH AVE.,NEW YORK,2NYRESTAUR,CCV2,FLEETWOOD,,NYRES,NY,NEW YORK NY,2FIO AI FIORI,"NY, ",10018,400 5TH AVE. NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1112,2FRAT,FRATELLI,1317 1ST AVENUE,NEW YORK,2NYRESTAUR,YYY,FLEETWOOD,,NYRES,NY,NEW YORK NY,2FRAT FRATELLI,"NY, ",10020,1317 1ST AVENUE NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1113,2FRIS2,DEL FRISCO'S GRILL,60 ROCKERFELLER PLAZA STE:H,NEW YORK,2NYRESTAUR,SWA,CE,,NYRES,NY,NEW YORK NY,2FRIS2 DEL FRISCO'S GRILL,"NY, ",10020,60 ROCKERFELLER PLAZA STE:H NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1114,2FRISCO,DEL FRISCO'S DOUBLE EAGLE,1221 AVENUE OF THE AMERICAS,NEW YORK,2NYRESTAUR,SWA,FLEETWOOD,,NYRES,NY,NEW YORK NY,2FRISCO DEL FRISCO'S DOUBLE EAGLE,"NY, ",10020,1221 AVENUE OF THE AMERICAS NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1115,2GAET,GAETANINA'S KITCHEN INC.,494 NINTH AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2GAET GAETANINA'S KITCHEN INC.,"NY, ",10018,494 NINTH AVENUE NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1116,2KEEN,KEENS CHOPHOUSE,72 WEST 36TH STREET,NEW YORK,2NYRESTAUR,NGR,FLEETWOOD,,NYRES,NY,NEW YORK NY,2KEEN KEENS CHOPHOUSE,"NY, ",10018,72 WEST 36TH STREET NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1117,2KEENS,BLEIBURG RESTAURANT INC.,72 W. 36TH ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2KEENS BLEIBURG RESTAURANT INC.,"NY, ",10018,72 W. 36TH ST. NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1118,2LANG,"LANGHAM PLACE, FIFTH AVE",400 FIFTH AVE,NEW YORK,2NYRESTAUR,CCV2,,,NYRES,NY,NEW YORK NY,"2LANG LANGHAM PLACE, FIFTH AVE","NY, ",10018,400 FIFTH AVE NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1119,2LHOST,LA HOSTERIA/FIORELLO'S ROMAN,888 7TH AVENUE,NEW YORK,2NYRESTAUR,YYY,FLEETWOOD,,NYRES,NY,NEW YORK NY,2LHOST LA HOSTERIA/FIORELLO'S ROMAN,"NY, ",10018,888 7TH AVENUE NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1120,2LIBRA,NEW YORK PUBLIC LIBRARY,5TH AVENUE & 42ND STREET,NEW YORK,2NYRESTAUR,SWA,FLEETWOOD,,NYRES,NY,NEW YORK NY,2LIBRA NEW YORK PUBLIC LIBRARY,"NY, ",10018,5TH AVENUE & 42ND STREET NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1121,2LOB,CITY LOBSTER,121 WEST 49TH STREET,NEW YORK,2NYRESTAUR,YYY,FLEETWOOD,,NYRES,NY,NEW YORK NY,2LOB CITY LOBSTER,"NY, ",10020,121 WEST 49TH STREET NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1122,2MARTI,Martini Restaurant,604 5TH AVENUE,NEW YORK,2NYRESTAUR,YYY,FLEETWOOD,,NYRES,NY,NEW YORK NY,2MARTI Martini Restaurant,"NY, ",10020,604 5TH AVENUE NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1123,2MAXW,AJ MAXWELL'S STEAKHOUSE,57 WEST 48TH STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2MAXW AJ MAXWELL'S STEAKHOUSE,"NY, ",10020,57 WEST 48TH STREET NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1124,2MON,MONTENAPO RESTAURANT,620 EIGHT AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2MON MONTENAPO RESTAURANT,"NY, ",10018,620 EIGHT AVENUE NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1125,2MORWI,MORRELL WINE BAR & CAFE,1 ROCKEFELLER PLAZA,NEW YORK,2NYRESTAUR,NGR,FLEETWOOD,,NYRES,NY,NEW YORK NY,2MORWI MORRELL WINE BAR & CAFE,"NY, ",10020,1 ROCKEFELLER PLAZA NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1126,2MURAN,MURANO RISTORANTE,205 W. 36TH ST.,NEW YORK,2NYRESTAUR,YYY,FLEETWOOD,,NYRES,NY,NEW YORK NY,2MURAN MURANO RISTORANTE,"NY, ",10018,205 W. 36TH ST. NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1127,2OSTER,OSTERIA STELLA,135 WEST 50TH STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2OSTER OSTERIA STELLA,"NY, ",10020,135 WEST 50TH STREET NEW YORK NY  10020 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9968,40.7354,"[-73.9968, 40.7354]"
1128,2OYSTE,OYSTER BAR & REST.,GRAND CENTRAL STATION,NEW YORK,2NYRESTAUR,CCV2,FLEETWOOD,,NYRES,NY,NEW YORK NY,2OYSTE OYSTER BAR & REST.,"NY, ",10168,GRAND CENTRAL STATION NEW YORK NY  10168 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,,Metro,On premise,-73.9768,40.7519,"[-73.9768, 40.7519]"
1129,2PESC,TATTORIA PESCE PASTA REST.CORP.,536 9TH AVENUE,NEW YORK,2NYRESTAUR,CCV2,CE,,NYRES,NY,NEW YORK NY,2PESC TATTORIA PESCE PASTA REST.CORP.,"NY, ",10018,536 9TH AVENUE NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
1130,2RADIO,RADIO CITY ENTERTAINMENT,2 PENN PLAZA 16TH FLR.,NEW YORK,2NYRESTAUR,KBU,FLEETWOOD,,NYRES,NY,NEW YORK NY,2RADIO RADIO CITY ENTERTAINMENT,"NY, ",10121,2 PENN PLAZA 16TH FLR. NEW YORK NY  10121 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,KOREA TOWN,Metro,On premise,-73.9919,40.7496,"[-73.9919, 40.7496]"
1131,2RAINB,RAINBOW ROOM,30 ROCKEFELLER PLAZA-64TH FL,NEW YORK,2NYRESTAUR,YYY,FLEETWOOD,,NYRES,NY,NEW YORK NY,2RAINB RAINBOW ROOM,"NY, ",10112,30 ROCKEFELLER PLAZA-64TH FL NEW YORK NY  10112 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,ROCKEFELLER,Metro,On premise,-73.9798,40.7593,"[-73.9798, 40.7593]"
1132,2RBRF,1412 BROADWAY ROOFTOP LLC,1412 BROADWAY,NEW YORK,2NYRESTAUR,CCU,,,NYRES,NY,NEW YORK NY,2RBRF 1412 BROADWAY ROOFTOP LLC,"NY, ",10018,1412 BROADWAY NEW YORK NY  10018 ,NEW YORK NY  ,MANHATTAN,MIDTOWN,CLINTON,Metro,On premise,-73.9925,40.7547,"[-73.9925, 40.7547]"
